"DolphinID","Species","Spe_code","Age","Sex","Stain","Location"
9,"Delphinus delphis","Del_delp",11.5,"Male","Mayer","Scotland"
9,"Delphinus delphis","Del_delp",11.5,"Male","Elrich","Scotland"
9,"Delphinus delphis","Del_delp",11,"Male","Toluidine","Scotland"
25,"Delphinus delphis","Del_delp",1.5,"Male","Mayer","Scotland"
25,"Delphinus delphis","Del_delp",1.5,"Male","Elrich","Scotland"
25,"Delphinus delphis","Del_delp",1.5,"Male","Toluidine","Scotland"
37,"Delphinus delphis","Del_delp",2,"Male","Mayer","Scotland"
37,"Delphinus delphis","Del_delp",2,"Male","Elrich","Scotland"
37,"Delphinus delphis","Del_delp",3,"Male","Toluidine","Scotland"
47,"Delphinus delphis","Del_delp",12,"Female","Mayer","Spain"
47,"Delphinus delphis","Del_delp",9,"Female","Elrich","Spain"
47,"Delphinus delphis","Del_delp",10,"Female","Toluidine","Spain"
51,"Delphinus delphis","Del_delp",15,"Female","Mayer","Spain"
51,"Delphinus delphis","Del_delp",13,"Female","Elrich","Spain"
51,"Delphinus delphis","Del_delp",15,"Female","Toluidine","Spain"
55,"Delphinus delphis","Del_delp",0.75,"Female","Mayer","Spain"
55,"Delphinus delphis","Del_delp",0.5,"Female","Elrich","Spain"
55,"Delphinus delphis","Del_delp",0.5,"Female","Toluidine","Spain"
57,"Delphinus delphis","Del_delp",15,"Female","Mayer","Spain"
57,"Delphinus delphis","Del_delp",13,"Female","Elrich","Spain"
57,"Delphinus delphis","Del_delp",15,"Female","Toluidine","Spain"
30,"Lagenorhynchus acutus","Lag_acut",9.5,"Male","Mayer","Scotland"
30,"Lagenorhynchus acutus","Lag_acut",7.5,"Male","Elrich","Scotland"
30,"Lagenorhynchus acutus","Lag_acut",7,"Male","Toluidine","Scotland"
31,"Lagenorhynchus acutus","Lag_acut",11.5,"Male","Mayer","Scotland"
31,"Lagenorhynchus acutus","Lag_acut",12,"Male","Elrich","Scotland"
31,"Lagenorhynchus acutus","Lag_acut",10,"Male","Toluidine","Scotland"
36,"Lagenorhynchus acutus","Lag_acut",1.5,"Female","Mayer","Scotland"
36,"Lagenorhynchus acutus","Lag_acut",1.5,"Female","Elrich","Scotland"
36,"Lagenorhynchus acutus","Lag_acut",1.5,"Female","Toluidine","Scotland"
5,"Phocoena phocoena","Pho_phoc",1.25,"Male","Mayer","Scotland"
5,"Phocoena phocoena","Pho_phoc",1.25,"Male","Elrich","Scotland"
5,"Phocoena phocoena","Pho_phoc",1.5,"Male","Toluidine","Scotland"
6,"Phocoena phocoena","Pho_phoc",2.5,"Female","Mayer","Scotland"
6,"Phocoena phocoena","Pho_phoc",2.5,"Female","Elrich","Scotland"
6,"Phocoena phocoena","Pho_phoc",2.5,"Female","Toluidine","Scotland"
7,"Phocoena phocoena","Pho_phoc",7.5,"Male","Mayer","Scotland"
7,"Phocoena phocoena","Pho_phoc",7,"Male","Elrich","Scotland"
7,"Phocoena phocoena","Pho_phoc",8,"Male","Toluidine","Scotland"
8,"Phocoena phocoena","Pho_phoc",1.5,"Male","Mayer","Scotland"
8,"Phocoena phocoena","Pho_phoc",1.5,"Male","Elrich","Scotland"
8,"Phocoena phocoena","Pho_phoc",1.5,"Male","Toluidine","Scotland"
10,"Phocoena phocoena","Pho_phoc",10,"Unidentified","Mayer","Scotland"
10,"Phocoena phocoena","Pho_phoc",8.5,"Unidentified","Elrich","Scotland"
10,"Phocoena phocoena","Pho_phoc",10,"Unidentified","Toluidine","Scotland"
11,"Phocoena phocoena","Pho_phoc",5,"Female","Mayer","Scotland"
11,"Phocoena phocoena","Pho_phoc",7.5,"Female","Elrich","Scotland"
11,"Phocoena phocoena","Pho_phoc",6.5,"Female","Toluidine","Scotland"
