"Ano","Sistema","Volume_medio","Chuva_media"
2003,"AltoTiete",36.15,83.81
2003,"Cantareira",28.67,80.36
2003,"Cotia",34.47,85.98
2003,"Guarapiranga",41.51,69.09
2003,"RioClaro",60.41,140.8
2003,"RioGrande",74.7,81.33
2004,"AltoTiete",31,122.92
2004,"Cantareira",21.65,126.63
2004,"Cotia",34.25,108.44
2004,"Guarapiranga",38.89,101.92
2004,"RioClaro",91.24,176.95
2004,"RioGrande",83.84,143.03
2005,"AltoTiete",40.98,107.96
2005,"Cantareira",47.3,131.07
2005,"Cotia",88.27,113.78
2005,"Guarapiranga",73.33,119.99
2005,"RioClaro",100.31,183.72
2005,"RioGrande",91.49,143.79
2006,"AltoTiete",58.17,120.33
2006,"Cantareira",52.62,128.49
2006,"Cotia",97.02,119.69
2006,"Guarapiranga",71.69,123.57
2006,"RioClaro",88.66,156.91
2006,"RioGrande",89.38,148.76
2007,"AltoTiete",58.3,108.42
2007,"Cantareira",41.74,120.47
2007,"Cotia",81.66,85.18
2007,"Guarapiranga",59.17,132.5
2007,"RioClaro",63.97,149.18
2007,"RioGrande",83.54,123.22
2008,"AltoTiete",50.95,121.19
2008,"Cantareira",52.58,130.9
2008,"Cotia",84.63,95.89
2008,"Guarapiranga",61.81,91.33
2008,"RioClaro",53.37,145.54
2008,"RioGrande",85.33,108.14
2009,"AltoTiete",52.04,149.89
2009,"Cantareira",80.39,171.02
2009,"Cotia",100.49,130.9
2009,"Guarapiranga",83.94,140.62
2009,"RioClaro",89.43,214.79
2009,"RioGrande",91.3,140.18
2010,"AltoTiete",79.29,131.43
2010,"Cantareira",90.61,131.57
2010,"Cotia",93.07,129.05
2010,"Guarapiranga",81.12,130.73
2010,"RioClaro",101.54,214.98
2010,"RioGrande",94.4,154.87
2011,"AltoTiete",69.88,106.16
2011,"Cantareira",83.47,120.42
2011,"Cotia",85.34,80.28
2011,"Guarapiranga",71.41,92.1
2011,"RioClaro",93.52,171.79
2011,"RioGrande",90.35,133.48
2012,"AltoTiete",50.18,122.17
2012,"Cantareira",67.54,120.63
2012,"Cotia",85.26,86.23
2012,"Guarapiranga",72.45,121.62
2012,"RioClaro",84.95,177.78
2012,"RioGrande",88.15,157.89
2013,"AltoTiete",57.7,108.55
2013,"Cantareira",49.81,90.84
2013,"Cotia",93.33,90.77
2013,"Guarapiranga",79.29,92.12
2013,"RioClaro",95.52,225.88
2013,"RioGrande",94.38,141.81
2014,"AltoTiete",25.26,87.22
2014,"Cantareira",14.71,80.41
2014,"Cotia",45.64,63.08
2014,"Guarapiranga",61.04,100.87
2014,"RioClaro",79.09,183.3
2014,"RioGrande",84.43,105.27
2015,"AltoTiete",17.73,134.97
2015,"Cantareira",10.25,136.6
2015,"Cotia",58.68,107.48
2015,"Guarapiranga",73.86,133.58
2015,"RioClaro",53.12,204.27
2015,"RioGrande",88.92,128.57
2016,"AltoTiete",39.76,111.73
2016,"Cantareira",37.29,128.13
2016,"Cotia",96.3,114.17
2016,"Guarapiranga",81.17,99.32
2016,"RioClaro",85.39,145.62
2016,"RioGrande",84.85,101.81
2017,"AltoTiete",53.4,94.48
2017,"Cantareira",57.86,108.24
2017,"Cotia",94.59,101.67
2017,"Guarapiranga",72.19,121.72
2017,"RioClaro",93.01,156.93
2017,"RioGrande",87.04,126.13
2018,"AltoTiete",57.16,60.26
2018,"Cantareira",46.06,75
2018,"Cotia",75.58,56.2
2018,"Guarapiranga",71.96,63.84
2018,"RioClaro",82.82,114.36
2018,"RioGrande",80.89,83.06
